N	F0	m	d_ms	d0	v0	prob	collision	Int_dv1	Int_dv2	Int_dv3	Int_dv4	Int_dv5	Int_dv6	Int_dv7	Int_dd2	Int_dd3	Int_dd4	Int_dd5	Int_dd6	Int_dd7	duration	freq	ampl	attack	Fresponse
8	800	1000	1	6	82	0.01	0	36.011622	63.943807	98.293632	80.286016	61.009256	43.649414	27.693834	211.939720	390.502486	136.418757	194.765448	155.491950	142.290233	4.051164	1.856267	0.982727	1	-3381
8	800	1000	1	5	90	0.01	0	82.210411	153.977756	147.381473	164.089911	167.795736	152.654569	141.132792	680.010108	2229.464728	270.551653	621.037943	892.069918	679.771852	3.090664	2.804318	2.997406	1	-4004
8	800	1000	1	7	62	0.01	0	76.910811	132.136614	89.920318	44.489195	15.849852	11.311099	9.870859	428.277066	325.532956	370.699825	289.121883	58.388841	22.184112	2.844520	1.778207	3.504852	1	-4763
8	800	1000	1	7	51	0.01	0	49.448316	75.382978	35.344603	17.964103	9.126350	7.609027	6.831186	177.522151	303.174119	116.670146	75.471576	16.934209	8.917403	1.405490	1.405341	1.995972	1	-5779
8	800	1000	1	5	86	0.01	0	80.607577	134.193208	54.216447	26.881665	14.182759	13.715835	11.467444	376.465836	582.756806	197.599604	115.718706	12.648778	23.277744	0.101944	0.987338	3.453627	1	-9579
8	800	1000	1	7	90	0.01	0	38.110031	21.054544	19.253376	12.888962	11.541247	9.005384	7.363529	144.161121	30.581458	53.131033	12.930821	22.102272	16.691123	1.270455	0.393744	1.064440	1	-4766
8	800	1000	1	9	57	0.01	0	30.023097	16.638943	9.412492	9.862618	8.733237	8.779313	8.032989	100.274292	64.417343	11.441807	10.556182	4.338448	10.375059	0.660179	1.879986	2.390255	1	-3199
8	800	1000	1	5	93	0.01	0	92.878770	141.698520	63.962707	42.772745	14.523085	13.622516	11.073672	340.524630	584.648751	146.979897	224.165359	18.762102	30.397014	2.511643	1.502606	3.224555	1	-9754
8	800	1000	1	5	87	0.01	0	119.376093	156.354705	165.121029	166.390455	147.943470	131.146029	120.329108	3407.780819	287.121305	644.073648	1407.634412	1101.550221	804.732003	4.272036	2.659438	4.177786	1	-5346
8	800	1000	1	6	95	0.01	0	77.167337	112.438162	45.273598	31.234161	17.761736	13.401626	10.263878	247.579375	488.782815	103.139393	112.670894	40.122899	33.379824	0.986178	0.525083	2.850185	1	-8074
